idProducto;codProducto;nombre;stock;idSubcategoria;idCategoria
1;A0103;ANESTESIA ANESCART FORTR X50.;331;1;1
2;A0111;ANESTESIA KLEPP TOPICAL;130;1;1
3;4;ANESTESIA MUCO-ANESTYL GEL 50G;373;1;1
4;A0107;ANESTESIA SCANDONEST 3% S.V.C.;246;1;1
5;245;ANESTESIA SPRAY INDICAN;106;1;1
6;69;ANESTESIA TOTALCAINA X 50;449;1;1
7;A4;INDICAN GEL;62;1;1
8;1;XYLOCAINA DENTSPLY X 50;381;1;1
9;C1485;AGUJAS C/HILO KEEPER;461;1;2
10;A1485;AGUJAS CON HILO;409;1;2
11;A0203;AGUJAS NIPRO/MISAWA/DELTAJET;307;1;2
12;196;ALGODON EN ROLLOS X 2;182;2;2
13;A1531;ALGODON PAROTISROLL ROEKOLIMPI;275;2;2
14;B202;APLICADORES DESC. X 100;261;3;2
15;A1462;APLICADORES INTRAORAL 3M X96 E;468;3;2
16;B363;APLICADORES X 25 MICROBRUSH;121;3;2
17;A1468;BABEROS COMPRESAS X 125 CROSS;137;4;2
18;A1476;BABEROS LISOS X 100;89;4;2
19;B206;BARBIJO 3M. MASCARILLA;22;4;2
20;A1466;BARBIJOS CROSSTEX X 50;1;5;2
21;A1427;BARBIJOS PAQUETE X 50;328;5;2
22;E205;BOLSAS AUTOCLAVE 30X46 X 100;354;6;2
23;D205;BOLSAS P/ESTERILIZAR BANDEJA;148;6;2
24;B154;CADENAS P/ BABEROS NI¥OS;270;4;2
25;154;CADENAS P/BABEROS METALICA;62;4;2
26;A846;CANULA DE ACERO;435;6;2
27;846;CANULAS CROSSTEX X 100;147;6;2
28;C1463;CEPILLITOS ULTABRUSH C/MANGO;83;6;2
29;B205;COMPRESAS X 100;324;2;2
30;A205;COMPRESAS X100 QUALITY;355;2;2
31;B212;CUBETAS P/FLUOR TERG.;414;6;2
32;C0205;DESCARTADOR AGUJAS A BOTON;67;1;2
33;B0205;DESCARTADOR DE AGUJAS;465;1;2
34;B1476;EQUIPO ODONT. DESC. P/CIRUGIA;430;7;2
